id,easting,northing,elevation,site,year,percAlong,distAlong
1,317891.8311,4097779.049,2163.006449,AHA,2021,0.000281294,0.262503526
2,317891.8311,4097779.049,2163.006449,AHA,2021,0.000562588,0.525007052
3,317892.0686,4097779.391,2163.008882,AHA,2021,0.000843882,0.787510578
4,317892.2416,4097779.629,2163.000098,AHA,2021,0.001125176,1.050014104
5,317892.4262,4097780.034,2162.995746,AHA,2021,0.00140647,1.312517631
6,317892.4262,4097780.034,2162.995746,AHA,2021,0.001687764,1.575021157
7,317892.5249,4097780.514,2163.000353,AHA,2021,0.001969058,1.837524683
8,317892.6267,4097781.028,2163.001778,AHA,2021,0.002250352,2.100028209
9,317892.6299,4097781.068,2163.002247,AHA,2021,0.002531646,2.362531735
10,317892.6299,4097781.068,2163.002247,AHA,2021,0.00281294,2.625035261
11,317892.6697,4097781.564,2163.017408,AHA,2021,0.003094233,2.887538787
12,317892.7399,4097782.074,2163.044263,AHA,2021,0.003375527,3.150042313
13,317892.7399,4097782.074,2163.044263,AHA,2021,0.003656821,3.412545839
14,317892.8437,4097782.551,2163.042121,AHA,2021,0.003938115,3.675049366
15,317892.8437,4097782.551,2163.042121,AHA,2021,0.004219409,3.937552892
16,317893.0459,4097782.916,2163.023602,AHA,2021,0.004500703,4.200056418
17,317893.2053,4097783.149,2163.015015,AHA,2021,0.004781997,4.462559944
18,317893.4439,4097783.478,2163.009642,AHA,2021,0.005063291,4.72506347
19,317893.4439,4097783.478,2163.009642,AHA,2021,0.005344585,4.987566996
20,317893.6276,4097783.719,2163.010929,AHA,2021,0.005625879,5.250070522
21,317893.8696,4097784.045,2163.014116,AHA,2021,0.005907173,5.512574048
22,317893.8696,4097784.045,2163.014116,AHA,2021,0.006188467,5.775077574
23,317893.9844,4097784.517,2163.007407,AHA,2021,0.006469761,6.0375811
24,317894.0992,4097784.989,2163.007098,AHA,2021,0.006751055,6.300084627
25,317894.1271,4097785.104,2163.008559,AHA,2021,0.007032349,6.562588153
26,317894.3198,4097785.567,2163.020338,AHA,2021,0.007313643,6.825091679
27,317894.3198,4097785.567,2163.020338,AHA,2021,0.007594937,7.087595205
28,317894.5366,4097786.02,2163.085831,AHA,2021,0.007876231,7.350098731
